region,scoreNN1b,scoreNN2b,nMDT,nRPC,nTGC,nBOL,clusE,rms_clustime,mindR,isolation,MET_dphi
barrel,0.453,0.7531,32,8,8,3,4.693,0.712,0.432,0.179,-1.546
barrel,0.0656,0.308,24,28,6,13,4.054,1.971,0.266,0.179,2.343
barrel,0.5152,0.9021,19,14,6,6,10.714,2.208,0.254,0.088,-0.001
barrel,0.7407,0.27,19,12,8,10,4.162,0.832,0.353,0.25,-2.315
barrel,0.6595,0.6252,21,12,9,7,3.288,2.756,0.489,0.232,-0.297
barrel,0.1813,0.4501,26,13,8,7,7.961,1.994,0.281,0.165,-2.421
barrel,0.7834,0.3861,30,9,13,5,7.119,1.246,0.301,0.043,2.063
barrel,0.6097,0.4082,22,11,10,5,7.048,1.403,0.349,0.296,-0.959
barrel,0.6063,0.2014,20,16,5,1,11.279,1.476,0.194,0.167,1.752
barrel,0.7361,0.3432,24,16,12,6,6.568,0.821,0.302,0.202,-1.248
barrel,0.4527,0.5307,36,17,10,7,7.972,2.083,0.449,0.176,2.655
barrel,0.0628,0.3771,29,15,6,4,7.535,1.09,0.335,0.334,-0.893
barrel,0.6207,0.2763,21,19,12,6,6.209,0.8,0.365,0.271,-2.791
barrel,0.9138,0.7151,32,5,8,5,9.442,1.883,0.202,0.196,-3.035
barrel,0.6443,0.1928,31,13,12,4,10.857,0.857,0.345,0.261,-2.735
barrel,0.417,0.1602,33,15,11,8,2.447,0.922,0.318,0.199,-0.943
barrel,0.5782,0.4045,29,12,10,9,6.937,1.29,0.341,0.151,-0.668
barrel,0.3105,0.6372,25,18,8,5,4.597,1.406,0.415,0.254,-2.015
barrel,0.8864,0.4171,21,17,10,5,2.28,2.397,0.155,0.149,-2.541
barrel,0.6523,0.2725,34,7,11,8,9.243,1.021,0.236,0.185,-2.062
barrel,0.1487,0.2593,28,14,14,8,5.024,1.739,0.182,0.083,-1.968
barrel,0.1568,0.264,28,17,16,6,3.402,2.127,0.314,0.225,-2.58
barrel,0.5394,0.1651,30,14,7,5,4.425,2.177,0.427,0.215,-1.905
barrel,0.5332,0.2367,33,12,10,4,8.464,2.992,0.294,0.153,-0.902
barrel,0.5512,0.5908,33,13,12,6,3.328,0.457,0.189,0.253,2.245
barrel,0.443,0.2347,32,11,7,6,9.296,2.128,0.227,0.173,1.851
barrel,0.146,0.3527,19,23,8,12,2.619,1.046,0.28,0.238,0.993
barrel,0.7638,0.4271,34,16,8,3,2.206,1.806,0.297,0.168,-0.828
barrel,0.2999,0.5273,29,12,8,4,4.383,1.932,0.369,0.241,0.868
barrel,0.7153,0.7956,29,18,11,6,13.223,1.21,0.413,0.153,0.703
barrel,0.3442,0.2633,35,11,11,4,4.891,1.892,0.436,0.218,-2.289
barrel,0.3737,0.1945,22,11,7,7,7.414,2.001,0.38,0.249,1.821
barrel,0.2241,0.208,29,6,8,7,1.962,1.486,0.309,0.206,2.415
barrel,0.6355,0.0285,29,17,9,8,12.23,0.729,0.199,0.173,-1.143
barrel,0.4679,0.2073,34,20,10,7,16.275,1.035,0.389,0.316,-0.99
barrel,0.6424,0.6108,24,15,12,9,0.941,1.851,0.389,0.194,-0.598
barrel,0.3462,0.0953,27,15,8,2,1.552,1.878,0.423,0.139,2.511
barrel,0.81,0.4383,24,7,11,4,4.57,1.77,0.314,0.182,0.261
barrel,0.5884,0.7702,21,15,7,11,7.501,1.832,0.295,0.218,-0.969
barrel,0.2631,0.1975,28,18,7,3,8.709,1.852,0.274,0.157,1.387
barrel,0.3585,0.3485,34,17,9,4,6.233,1.041,0.395,0.265,0.083
barrel,0.0776,0.1709,27,9,13,7,7.967,1.432,0.232,0.186,-2.788
barrel,0.2324,0.4805,36,16,11,6,7.486,1.563,0.249,0.338,1.542
barrel,0.6048,0.0,26,17,6,5,2.052,1.168,0.139,0.068,1.35
barrel,0.1634,0.438,30,19,2,7,2.79,1.507,0.251,0.219,0.37
barrel,0.2386,0.2739,31,14,12,5,7.64,1.604,0.275,0.172,1.561
barrel,0.3647,0.5007,27,13,6,7,1.962,1.205,0.299,0.337,-1.642
barrel,0.6389,0.2226,27,13,10,9,3.255,1.701,0.349,0.044,0.198
barrel,0.207,0.1844,30,12,12,6,7.865,2.112,0.179,0.168,1.558
barrel,0.7366,0.3104,34,9,11,1,7.411,2.426,0.414,0.225,-0.974
barrel,0.607,0.8661,32,17,6,8,2.144,1.128,0.516,0.218,0.373
barrel,0.194,0.4676,45,17,9,7,2.692,1.695,0.251,0.288,0.283
barrel,0.6823,0.4282,26,11,5,6,1.947,1.336,0.481,0.278,1.271
barrel,0.1834,0.5686,24,13,7,12,5.246,1.833,0.194,0.321,1.555
barrel,0.287,0.6113,31,14,16,4,10.073,1.193,0.343,0.264,-2.78
barrel,0.0891,0.0911,30,19,10,5,3.711,1.986,0.116,0.256,-0.778
barrel,0.4857,0.1607,26,16,5,8,8.354,1.065,0.36,0.021,1.571
barrel,0.4445,0.3371,34,8,10,9,5.809,1.156,0.515,0.22,-1.705
barrel,0.8082,0.5486,35,17,12,5,8.839,1.644,0.221,0.256,-1.488
barrel,0.5991,0.262,19,11,7,3,3.682,1.286,0.199,0.214,-3.025
barrel,0.755,0.1426,30,15,10,5,4.394,1.48,0.448,0.154,-1.113
barrel,0.3968,0.3506,30,14,11,8,2.132,1.675,0.319,0.151,1.26
barrel,0.5377,0.4786,29,11,9,7,2.92,1.269,0.235,0.173,2.315
barrel,0.0717,0.122,34,10,5,1,7.282,1.577,0.269,0.107,0.672
barrel,0.3871,0.6805,32,14,12,7,8.721,1.756,0.375,0.309,-2.856
barrel,0.4001,0.5108,20,16,10,6,8.759,2.755,0.396,0.218,1.722
barrel,0.3804,0.413,31,18,9,7,4.798,1.072,0.35,0.164,-0.865
barrel,0.1853,0.7999,25,15,9,6,2.714,1.087,0.479,0.328,-2.484
barrel,0.6488,0.587,28,10,14,4,2.897,0.915,0.337,0.225,1.025
barrel,0.4572,0.46,29,14,8,5,3.79,1.417,0.219,0.047,-1.576
barrel,0.7909,0.6429,24,20,10,4,8.349,2.06,0.246,0.146,0.27
barrel,0.8558,0.5058,20,16,10,5,8.443,2.14,0.26,0.226,0.392
barrel,0.3113,0.4038,27,17,8,5,3.929,1.912,0.31,0.262,-2.412
barrel,0.47,0.7553,26,10,8,10,1.535,1.727,0.112,0.141,3.086
barrel,0.5054,0.2703,34,10,8,8,3.596,0.827,0.303,0.158,2.25
barrel,0.5469,0.524,38,13,12,4,2.389,1.891,0.398,0.148,-1.29
barrel,0.7033,0.0067,31,19,6,8,4.424,0.656,0.2,0.167,1.987
barrel,0.2499,0.5957,23,15,6,7,4.105,0.16,0.305,0.178,2.151
barrel,0.255,0.7112,30,15,12,2,4.952,1.755,0.484,0.185,2.421
barrel,0.2741,0.7623,34,6,9,1,7.162,2.265,0.252,0.122,-2.219
barrel,0.753,0.3478,29,16,9,9,3.448,1.771,0.263,0.274,2.348
barrel,0.661,0.5382,26,16,10,5,4.698,1.544,0.333,0.102,1.332
barrel,0.4551,0.1926,33,16,19,4,8.383,1.76,0.278,0.104,-1.396
barrel,0.3991,0.2236,17,9,12,7,12.404,2.09,0.338,0.306,2.339
barrel,0.4264,0.4524,22,18,7,7,3.626,1.709,0.313,0.16,2.865
barrel,0.4806,0.5105,15,16,7,7,3.023,1.499,0.27,0.183,-1.724
barrel,0.3973,0.5255,32,17,9,10,6.762,0.952,0.391,0.285,0.798
barrel,0.0,0.4435,26,13,14,5,7.57,1.983,0.176,0.125,-0.639
barrel,0.027,0.3661,30,7,9,4,3.372,3.01,0.458,0.09,-2.264
barrel,0.1783,0.1557,28,16,5,10,9.101,2.828,0.309,0.311,-3.064
barrel,0.2679,0.2229,27,9,10,9,2.83,0.656,0.134,0.227,2.694
barrel,0.3573,0.7748,29,12,10,3,3.611,1.438,0.389,0.19,3.106
barrel,0.6435,0.4292,28,12,8,10,4.529,1.331,0.508,0.342,-1.376
barrel,0.1959,0.8005,36,15,9,8,8.031,2.414,0.316,0.057,-2.087
barrel,0.4853,0.2542,30,20,10,6,7.748,1.502,0.344,0.193,1.971
barrel,0.8181,0.7257,23,18,12,4,6.938,1.54,0.459,0.029,2.9
barrel,0.1404,0.1506,19,16,6,8,6.781,0.906,0.13,0.213,-2.363
barrel,0.6549,0.6927,22,12,7,3,8.762,1.867,0.4,0.218,-0.22
barrel,0.3494,0.2559,34,15,5,4,3.219,1.217,0.226,0.257,1.834
barrel,0.5751,0.3356,26,12,8,5,6.268,1.033,0.329,0.245,2.95
barrel,0.2208,0.2458,30,15,7,10,1.582,1.833,0.303,0.119,-2.631
barrel,0.2402,0.0496,24,15,12,9,8.294,1.232,0.359,0.134,-1.251
barrel,0.7627,0.2964,28,21,12,3,8.121,1.347,0.274,0.099,-1.628
barrel,0.184,0.2587,24,9,14,6,7.15,1.27,0.186,0.196,1.654
barrel,0.1846,0.4907,31,10,9,5,11.122,1.679,0.381,0.204,-2.989
barrel,0.4968,0.299,26,10,6,3,1.941,2.413,0.371,0.15,1.484
barrel,0.1196,0.4846,25,8,7,5,7.853,1.968,0.293,0.37,-1.207
barrel,0.2464,0.5053,18,20,12,5,8.367,1.358,0.314,0.154,1.376
barrel,0.66,0.2252,39,10,7,5,11.238,1.665,0.379,0.328,2.296
barrel,0.3491,0.1389,38,16,7,6,7.344,1.893,0.214,0.302,2.044
barrel,0.3964,0.6108,22,15,11,7,5.142,0.998,0.355,0.065,-0.463
barrel,0.4108,0.6134,29,16,8,5,9.46,1.03,0.397,0.054,0.599
barrel,0.4447,0.4406,23,16,11,5,11.268,1.217,0.26,0.133,1.616
barrel,0.0361,0.327,24,13,12,7,3.178,0.525,0.463,0.107,0.573
barrel,0.4295,0.2946,28,8,4,5,3.653,0.633,0.519,0.12,-0.78
barrel,0.1105,0.1533,24,11,17,7,5.103,1.314,0.181,0.068,-2.237
barrel,0.3718,0.6516,22,18,5,6,5.391,1.0,0.291,0.218,0.393
barrel,0.5411,0.4495,26,15,12,5,13.182,1.974,0.323,0.154,-1.908
barrel,0.1702,0.9632,24,14,15,5,22.761,1.829,0.366,0.201,2.78
barrel,0.8577,0.86,29,9,9,1,4.439,1.178,0.227,0.149,0.949
barrel,0.3611,0.7265,34,8,6,4,1.323,1.266,0.367,0.136,0.121
barrel,0.5466,0.4942,30,18,7,4,1.858,1.295,0.369,0.351,2.962
barrel,0.664,0.0,17,9,7,5,6.874,1.757,0.177,0.223,1.039
barrel,0.1029,0.5436,27,13,9,7,7.112,1.59,0.246,0.189,-1.457
barrel,0.5527,0.3706,25,10,10,5,6.507,1.623,0.156,0.183,0.183
barrel,0.2947,0.2228,25,10,16,6,5.575,1.104,0.192,0.148,0.875
barrel,0.3052,0.0983,39,14,6,4,3.535,0.527,0.397,0.16,-1.839
barrel,0.9566,0.0743,33,10,10,2,5.615,1.919,0.223,0.291,-0.653
barrel,0.3817,0.3999,35,13,5,8,0.458,1.545,0.473,0.166,0.677
barrel,0.2359,0.1837,32,17,7,5,6.608,1.738,0.293,0.1,1.168
barrel,0.5762,0.3611,27,8,19,6,10.317,1.595,0.283,0.284,-2.859
barrel,0.5423,0.1333,24,11,6,5,3.198,1.371,0.29,0.291,0.314
barrel,0.359,0.9546,21,13,3,4,3.711,0.989,0.405,0.167,-1.182
barrel,0.4736,0.4423,21,10,14,5,3.277,0.467,0.237,0.228,1.941
barrel,0.4903,0.4648,34,12,11,8,9.834,0.932,0.453,0.158,2.204
barrel,0.5516,0.0502,34,9,11,11,10.049,1.393,0.28,0.281,-0.563
barrel,0.2491,0.618,22,13,8,8,9.035,2.069,0.291,0.158,0.633
barrel,0.3447,0.9075,37,13,7,6,8.182,1.513,0.328,0.192,3.084
barrel,0.5887,0.1429,29,13,8,5,4.054,1.385,0.41,0.234,-0.533
barrel,0.844,0.3774,35,13,9,8,6.901,1.499,0.217,0.251,-1.944
barrel,0.573,0.7745,21,18,5,9,7.108,0.276,0.311,0.278,1.294
barrel,0.4786,0.2719,35,17,8,10,7.254,1.288,0.3,0.212,0.876
barrel,0.5927,0.7144,21,12,4,3,0.901,1.756,0.22,0.274,0.018
barrel,0.1729,0.5063,29,16,6,5,6.432,1.809,0.294,0.139,-1.979
barrel,0.2229,0.4264,25,11,12,4,3.3,0.767,0.391,0.171,2.195
barrel,0.3792,0.5011,26,11,15,6,2.106,2.695,0.211,0.177,-1.153
barrel,0.4606,0.4602,21,16,5,5,7.126,1.461,0.428,0.311,-1.51
barrel,0.3572,0.1449,35,18,8,9,2.879,2.021,0.319,0.277,0.918
barrel,0.393,0.5446,33,11,17,9,7.639,2.666,0.24,0.171,2.812
barrel,0.2678,0.5328,20,8,12,11,7.076,0.845,0.159,0.295,0.054
barrel,0.6394,0.2837,24,13,9,9,2.613,1.569,0.272,0.234,-0.894
barrel,0.2743,0.3906,30,10,20,3,2.775,2.075,0.254,0.108,-1.436
barrel,0.6027,0.2202,25,14,10,9,4.232,1.432,0.179,0.351,-0.977
barrel,0.3052,0.2613,27,16,10,11,10.631,3.141,0.391,0.259,-1.176
barrel,0.534,0.1976,25,19,8,6,2.26,1.596,0.218,0.181,0.638
barrel,0.5763,0.0853,22,16,10,4,3.623,2.99,0.148,0.05,-2.394
barrel,0.4791,0.8393,36,10,6,4,5.936,1.428,0.343,0.077,0.645
barrel,0.6954,0.2165,39,16,9,6,7.326,0.632,0.224,0.24,2.44
barrel,0.5997,0.7036,28,8,8,10,3.461,1.77,0.244,0.169,1.55
barrel,0.3174,0.2442,34,15,3,6,2.257,1.178,0.338,0.182,0.416
barrel,0.1236,0.793,24,13,5,9,5.172,0.736,0.318,0.246,2.495
barrel,0.8208,0.6116,22,9,7,11,6.335,1.911,0.268,0.073,-1.736
barrel,0.0374,0.3877,21,12,11,5,4.258,1.614,0.124,0.196,-1.339
barrel,0.1304,0.8063,24,14,7,5,5.106,1.015,0.358,0.171,-1.671
barrel,0.6467,0.5698,31,18,11,9,6.21,2.38,0.28,0.199,-0.69
barrel,0.4322,0.609,27,18,10,7,3.983,2.164,0.243,0.165,2.677
barrel,0.7321,0.3551,39,16,9,5,4.341,0.566,0.192,0.066,-2.091
barrel,0.2712,0.2732,27,13,10,6,9.672,2.015,0.321,0.199,2.861
barrel,0.2646,0.1418,23,12,10,11,5.653,0.73,0.294,0.306,-0.24
barrel,0.7352,0.267,30,22,13,7,7.4,2.116,0.239,0.193,-0.937
barrel,0.1369,0.2374,28,13,5,2,2.306,2.696,0.226,0.163,-2.774
barrel,0.2006,0.8835,32,14,6,7,8.742,2.879,0.371,0.19,2.844
barrel,0.784,0.6397,24,12,9,5,10.289,1.602,0.266,0.296,-1.865
barrel,0.2044,0.2183,35,19,7,8,6.298,1.032,0.483,0.143,-0.712
barrel,0.1857,0.6582,29,12,7,5,2.333,1.417,0.218,0.177,2.584
barrel,0.9519,0.2421,27,4,10,9,6.519,1.522,0.287,0.198,3.032
barrel,0.3722,0.2718,27,16,10,4,5.488,1.428,0.354,0.337,-0.901
barrel,0.2934,0.3679,30,11,7,7,6.61,1.375,0.379,0.125,3.136
barrel,0.264,0.1667,34,16,10,9,4.628,0.878,0.435,0.106,2.02
barrel,0.0607,0.2062,19,17,6,10,2.643,1.075,0.406,0.261,-0.174
barrel,0.1765,0.5448,43,14,9,4,4.423,2.069,0.306,0.108,-2.831
barrel,0.2999,0.1054,28,12,7,8,7.883,1.242,0.417,0.088,2.965
barrel,0.5054,0.1619,22,10,7,9,8.773,1.365,0.511,0.24,2.316
barrel,0.4299,0.3641,33,17,15,9,7.596,1.229,0.176,0.132,0.89
barrel,0.6243,0.7582,30,8,10,2,2.104,1.881,0.297,0.184,0.596
barrel,0.4852,0.3951,26,15,11,5,1.669,1.132,0.285,0.307,0.351
barrel,0.3183,0.4582,20,14,12,6,5.96,1.217,0.157,0.164,1.026
barrel,0.4606,0.2012,32,13,8,6,2.2,1.504,0.436,0.114,2.54
barrel,0.792,0.0749,24,14,7,7,11.151,0.44,0.398,0.076,0.673
barrel,0.5183,0.3422,23,17,8,7,5.212,1.092,0.362,0.15,0.46
barrel,0.4413,0.6808,29,12,12,7,4.212,1.681,0.386,0.186,2.63
barrel,0.6896,0.1469,29,13,10,6,4.734,3.347,0.329,0.276,-0.275
barrel,0.6423,0.2472,24,14,15,3,2.478,0.342,0.303,0.33,0.864
barrel,0.5217,0.632,29,12,17,6,11.602,0.851,0.238,0.154,-1.213
barrel,0.2757,0.2351,29,10,7,13,9.247,1.16,0.252,0.164,0.139
barrel,0.45,0.187,30,7,13,5,1.661,1.71,0.376,0.266,-0.199
barrel,0.2232,0.1833,26,12,13,7,5.203,2.71,0.462,0.366,-2.636
barrel,0.6515,0.2236,25,17,17,5,11.727,1.098,0.347,0.33,2.994
barrel,0.3609,0.4305,27,8,11,7,5.185,2.329,0.296,0.235,1.925
barrel,0.3869,0.1841,21,13,6,7,9.116,1.522,0.165,0.194,1.154
barrel,0.0586,0.4293,27,13,6,2,4.196,2.222,0.234,0.265,1.813
barrel,0.0426,0.7053,24,11,9,2,3.076,1.971,0.383,0.173,0.877
barrel,0.2129,0.3985,37,13,4,7,2.713,1.339,0.225,0.072,2.846
barrel,0.1441,0.056,38,14,8,9,12.436,1.049,0.331,0.129,-2.273
barrel,0.7602,0.6321,32,9,7,6,6.396,0.627,0.329,0.193,-2.759
barrel,0.4805,0.4984,34,13,7,8,4.724,0.321,0.349,0.108,0.294
barrel,0.2386,0.511,24,13,9,5,4.019,2.36,0.288,0.311,1.153
barrel,0.1751,0.6048,30,17,11,7,3.378,1.904,0.368,0.163,0.086
barrel,0.3477,0.2063,29,10,11,10,4.284,1.319,0.495,0.271,-0.435
barrel,0.1505,0.5142,31,21,10,10,7.563,2.484,0.492,0.286,-1.949
barrel,0.6009,0.5993,25,18,12,6,7.899,0.454,0.226,0.223,-2.413
barrel,0.6518,0.4569,21,13,7,2,4.824,1.653,0.379,0.181,2.444
barrel,0.199,0.2825,24,10,11,7,7.277,2.212,0.371,0.27,0.129
barrel,0.4841,0.4614,32,17,8,7,2.741,1.976,0.41,0.123,-2.147
barrel,0.5563,0.0582,21,16,9,8,5.539,1.35,0.266,0.18,-0.537
barrel,0.433,0.0,25,21,9,5,8.871,1.484,0.361,0.173,-2.105
barrel,0.3423,0.4054,24,18,9,2,12.174,1.648,0.251,0.139,2.805
barrel,0.4295,0.7156,26,17,11,8,4.539,0.875,0.325,0.158,-1.97
barrel,0.2681,0.5032,30,15,15,6,3.456,0.698,0.234,0.193,-2.268
barrel,0.4104,0.815,24,15,13,6,6.263,1.348,0.318,0.256,-1.534
barrel,0.8591,0.628,25,18,7,4,4.372,0.475,0.174,0.262,1.166
barrel,0.3977,0.1291,28,14,6,8,1.449,0.628,0.38,0.333,1.251
barrel,0.7296,0.4254,26,17,8,7,3.062,0.872,0.363,0.151,-1.952
barrel,0.3769,0.2108,34,21,7,7,9.074,2.469,0.326,0.196,2.545
barrel,0.2786,0.288,18,18,9,7,1.607,1.564,0.212,0.177,2.985
barrel,0.1043,0.8781,23,13,4,10,3.624,2.131,0.355,0.122,-0.615
barrel,0.0965,0.3043,24,16,5,9,1.725,0.605,0.489,0.019,-0.545
barrel,0.3128,0.6778,30,15,9,6,2.492,1.683,0.263,0.306,-1.794
barrel,0.1564,0.3316,33,24,12,6,2.242,1.5,0.312,0.146,-2.985
barrel,0.4923,0.3295,23,14,9,5,9.638,1.681,0.077,0.207,-0.348
barrel,0.7613,0.3609,21,16,9,12,8.492,1.156,0.271,0.152,1.198
barrel,0.3202,0.4373,28,14,7,6,11.509,1.484,0.231,0.265,2.384
barrel,0.3341,0.2759,29,14,17,4,14.648,0.72,0.259,0.347,0.435
barrel,0.4824,0.6496,27,16,9,6,2.647,1.493,0.292,0.161,0.794
barrel,0.3535,0.2482,21,14,11,4,3.002,1.585,0.264,0.201,2.366
barrel,0.4667,0.2663,26,14,7,6,4.023,1.844,0.303,0.175,0.376
barrel,0.7034,0.2837,28,8,13,5,6.209,1.254,0.282,0.019,-2.422
barrel,0.3883,0.5671,22,10,7,13,2.294,1.185,0.235,0.263,-3.026
barrel,0.5998,0.4038,21,11,7,11,2.921,0.745,0.485,0.205,2.435
barrel,0.6424,0.1855,22,16,14,4,5.807,1.59,0.34,0.22,2.042
barrel,0.5202,0.3773,32,11,10,3,9.154,2.379,0.364,0.187,0.304
barrel,0.455,0.3059,28,9,16,3,2.362,0.943,0.274,0.272,3.141
barrel,0.707,0.6944,26,17,7,11,1.33,0.572,0.28,0.214,2.055
barrel,0.5499,0.1606,19,16,15,5,6.114,1.128,0.406,0.072,0.24
barrel,0.5238,0.1734,31,16,11,5,4.702,1.166,0.364,0.289,1.966
barrel,0.8266,0.467,33,14,10,6,3.883,2.142,0.211,0.19,2.674
barrel,0.391,0.3725,32,13,11,10,6.252,2.288,0.417,0.213,-0.001
barrel,0.3999,0.6937,32,15,10,8,3.889,0.913,0.435,0.147,-1.486
barrel,0.4186,0.6803,27,15,6,9,2.922,1.892,0.374,0.104,1.127
barrel,0.2554,0.2617,27,12,6,5,6.249,0.654,0.337,0.013,2.027
barrel,0.2129,0.0021,31,19,9,7,3.031,1.168,0.311,0.184,2.518
barrel,0.3692,0.8199,30,16,11,3,9.463,1.831,0.4,0.16,-0.16
barrel,0.3559,0.1797,26,11,11,6,3.354,0.074,0.335,0.28,-2.046
barrel,0.314,0.4727,27,22,6,9,7.012,2.187,0.18,0.204,-0.154
barrel,0.2056,0.6851,28,8,5,6,5.225,1.105,0.521,0.31,-1.6
barrel,0.6915,0.5478,32,12,7,2,3.635,1.285,0.308,0.306,-0.664
barrel,0.728,0.2757,20,14,14,3,5.192,2.564,0.104,0.241,-1.221
barrel,0.4861,0.2515,37,15,11,5,2.809,2.596,0.299,0.281,-0.622
barrel,0.3908,0.3511,27,11,7,8,8.454,0.919,0.338,0.231,2.112
barrel,0.4614,0.3351,36,13,11,8,4.946,0.395,0.321,0.196,-2.961
barrel,0.5195,0.978,15,15,7,7,3.131,2.143,0.181,0.266,-2.582
barrel,0.2317,0.4756,29,13,14,8,10.996,1.241,0.319,0.168,2.36
barrel,0.1587,0.3187,29,14,3,6,12.254,1.735,0.394,0.151,2.244
barrel,0.5587,0.4611,31,12,12,7,6.645,1.268,0.368,0.28,2.764
barrel,0.6371,0.4511,29,11,4,8,5.619,0.753,0.401,0.12,2.697
barrel,0.2744,0.4075,37,20,9,3,4.623,0.948,0.139,0.224,1.114
barrel,0.1644,0.2597,28,15,12,11,5.243,1.88,0.355,0.207,2.713
barrel,0.2816,0.1728,21,14,9,8,8.505,0.477,0.321,0.135,-1.272
barrel,0.304,0.3013,36,15,6,7,6.599,2.317,0.356,0.251,-0.965
barrel,0.5344,0.0,30,13,6,5,6.913,1.425,0.409,0.305,1.343
barrel,0.38,0.6524,21,9,10,6,6.975,2.147,0.369,0.243,-1.886
barrel,0.2023,0.6396,21,19,7,5,6.944,1.556,0.446,0.119,1.995
barrel,0.6038,0.4058,28,14,12,8,6.158,1.182,0.104,0.105,-0.844
barrel,0.4799,0.4052,18,13,5,12,3.338,1.684,0.342,0.188,-2.508
barrel,0.2135,0.2102,27,15,10,10,8.868,2.159,0.295,0.13,-0.132
barrel,0.2248,0.064,27,15,7,9,8.585,1.442,0.364,0.372,-2.01
barrel,0.3031,0.0447,24,15,10,6,7.176,1.41,0.289,0.232,2.769
barrel,0.2111,0.7195,29,11,9,5,3.847,1.491,0.298,0.37,-0.261
barrel,0.1033,0.6437,24,16,8,6,2.256,0.594,0.339,0.211,-1.312
barrel,0.2878,0.0739,33,16,4,2,12.572,1.545,0.287,0.203,0.622
barrel,0.2104,0.4324,18,11,9,7,5.097,1.287,0.357,0.026,2.773
barrel,0.5106,0.3592,28,14,7,6,5.046,1.135,0.187,0.143,1.244
barrel,0.5095,0.6982,23,12,7,3,8.291,2.231,0.141,0.219,-2.189
barrel,0.5594,0.3864,32,15,10,2,0.964,2.524,0.333,0.143,-2.494
barrel,0.603,0.7163,32,9,10,4,6.711,1.456,0.273,0.284,-1.432
barrel,0.5736,0.4215,31,10,6,4,12.876,1.632,0.116,0.165,3.033
barrel,0.688,0.3979,29,16,6,6,3.035,1.661,0.322,0.126,-1.584
barrel,0.1653,0.3073,29,15,8,3,4.006,0.961,0.12,0.199,-1.871
barrel,0.0,0.329,25,18,11,10,9.456,2.294,0.214,0.144,-1.484
barrel,0.3851,0.2791,31,13,12,6,6.118,2.61,0.257,0.271,1.972
barrel,0.7473,0.5466,26,9,7,3,7.7,1.728,0.348,0.134,-0.22
barrel,0.3698,0.1126,28,13,7,2,7.156,2.122,0.118,0.085,-0.383
barrel,0.0385,0.5302,23,15,8,8,2.252,1.488,0.531,0.119,0.724
barrel,0.3107,0.15,30,9,12,6,15.644,1.279,0.264,0.346,-0.383
barrel,0.0315,0.0626,24,7,5,7,8.866,1.233,0.187,0.236,-2.057
barrel,0.2304,0.6965,22,11,12,7,10.535,1.747,0.286,0.299,-0.989
barrel,0.3856,0.6752,24,11,2,13,6.214,1.166,0.266,0.098,2.62
barrel,0.1433,0.4239,23,14,8,7,2.504,1.686,0.144,0.132,-0.215
barrel,0.3182,0.1991,19,14,9,11,5.569,0.838,0.4,0.23,-0.012
barrel,0.025,0.8668,24,18,12,4,7.634,1.953,0.183,0.338,1.971
barrel,0.0291,0.5012,34,11,7,6,7.776,2.163,0.284,0.202,2.474
barrel,0.5171,0.5479,34,17,7,3,2.394,1.534,0.263,0.125,-0.566
barrel,0.3863,0.0817,29,11,10,9,8.071,0.814,0.274,0.298,0.989
barrel,0.2455,0.6643,34,11,5,1,7.825,1.911,0.152,0.176,1.053
barrel,0.3406,0.5483,20,17,8,8,4.805,1.625,0.39,0.154,2.275
barrel,0.0769,0.336,21,16,9,5,5.683,1.582,0.46,0.078,0.367
barrel,0.5583,0.4599,31,15,10,4,3.47,1.257,0.556,0.244,-2.499
barrel,0.0135,0.8565,35,8,11,8,4.252,1.983,0.22,0.19,-1.942
barrel,0.5368,0.0642,27,11,9,5,8.772,1.162,0.288,0.173,-1.567
barrel,0.3845,0.5507,20,8,9,5,3.81,1.465,0.228,0.182,3.096
barrel,0.3662,0.1521,25,16,10,5,8.214,1.612,0.164,0.22,3.12
barrel,0.3119,0.3807,25,18,14,6,4.607,1.134,0.231,0.089,-0.2
barrel,0.7457,0.6746,31,13,11,6,7.636,1.86,0.325,0.108,-2.435
barrel,0.203,0.5598,23,17,14,3,6.462,1.55,0.225,0.188,1.44
barrel,0.2526,0.1474,33,10,11,8,4.779,0.94,0.261,0.186,2.062
barrel,0.5291,0.1916,27,12,6,12,14.323,1.9,0.32,0.145,-0.273
barrel,0.3272,0.4198,24,16,10,12,6.617,0.563,0.222,0.287,-1.558
barrel,0.4855,0.2923,25,12,6,6,4.276,2.404,0.273,0.109,-1.277
barrel,0.1698,0.4935,17,12,4,5,4.612,2.503,0.305,0.139,-1.724
barrel,0.2538,0.3697,21,18,4,4,6.461,1.853,0.447,0.14,0.112
barrel,0.3376,0.1553,30,13,7,6,6.775,0.985,0.033,0.233,1.624
barrel,0.0941,0.8869,25,11,7,2,7.622,1.816,0.548,0.224,-2.937
barrel,0.2035,0.4004,27,12,6,4,7.705,1.912,0.249,0.174,-1.359
barrel,0.1741,0.0814,35,19,15,8,10.242,1.74,0.412,0.267,1.554
barrel,0.2785,0.2886,28,14,7,5,5.075,1.249,0.148,0.093,-1.485
barrel,0.3469,0.4285,23,8,10,6,2.667,1.686,0.143,0.297,-1.935
barrel,0.4247,0.2409,32,13,7,6,13.338,1.065,0.143,0.168,2.675
barrel,0.0724,0.793,24,12,10,7,4.624,1.674,0.22,0.244,3.06
barrel,0.4003,0.7655,27,19,8,9,7.473,1.13,0.368,0.171,1.615
